##### SUMMARY #####
Total number of grids in the dataset: 7275
Total number of grids missed: 206
List of missed grids:
['0000002364', '2011_09_26', '0001', '0000000001']
['0000005572', '2011_09_26', '0009', '0000000001']
['0000006072', '2011_09_26', '0011', '0000000001']
['0000004070', '2011_09_26', '0015', '0000000001']
['0000003144', '2011_09_26', '0017', '0000000001']
['0000001282', '2011_09_26', '0027', '0000000001']
['0000005393', '2011_09_26', '0029', '0000000001']
['0000002827', '2011_09_26', '0039', '0000000001']
['0000000295', '2011_09_26', '0051', '0000000001']
['0000004645', '2011_09_26', '0056', '0000000001']
['0000007088', '2011_09_26', '0093', '0000000002']
['0000001182', '2011_09_26', '0093', '0000000004']
['0000007437', '2011_09_26', '0093', '0000000006']
['0000004734', '2011_09_26', '0093', '0000000008']
['0000000626', '2011_09_26', '0093', '0000000010']
['0000003395', '2011_09_26', '0093', '0000000012']
['0000002372', '2011_09_26', '0093', '0000000014']
['0000003417', '2011_09_26', '0093', '0000000016']
['0000002101', '2011_09_26', '0093', '0000000018']
['0000001848', '2011_09_26', '0093', '0000000020']
['0000007178', '2011_09_26', '0093', '0000000022']
['0000006301', '2011_09_26', '0093', '0000000024']
['0000006629', '2011_09_26', '0093', '0000000026']
['0000006968', '2011_09_26', '0093', '0000000028']
['0000007149', '2011_09_26', '0093', '0000000030']
['0000000472', '2011_09_26', '0093', '0000000032']
['0000006822', '2011_09_26', '0093', '0000000034']
['0000006525', '2011_09_26', '0093', '0000000036']
['0000000089', '2011_09_26', '0093', '0000000038']
['0000001856', '2011_09_26', '0093', '0000000040']
['0000006990', '2011_09_26', '0093', '0000000042']
['0000003497', '2011_09_26', '0093', '0000000044']
['0000003410', '2011_09_26', '0093', '0000000046']
['0000000541', '2011_09_26', '0093', '0000000048']
['0000003808', '2011_09_26', '0093', '0000000050']
['0000002928', '2011_09_26', '0093', '0000000052']
['0000002673', '2011_09_26', '0093', '0000000054']
['0000000050', '2011_09_26', '0093', '0000000056']
['0000005794', '2011_09_26', '0093', '0000000058']
['0000007267', '2011_09_26', '0093', '0000000060']
['0000002797', '2011_09_26', '0093', '0000000062']
['0000003319', '2011_09_26', '0093', '0000000064']
['0000006540', '2011_09_26', '0093', '0000000066']
['0000000704', '2011_09_26', '0093', '0000000068']
['0000007194', '2011_09_26', '0093', '0000000070']
['0000003956', '2011_09_26', '0093', '0000000072']
['0000002516', '2011_09_26', '0093', '0000000074']
['0000003711', '2011_09_26', '0093', '0000000076']
['0000005368', '2011_09_26', '0093', '0000000078']
['0000001478', '2011_09_26', '0093', '0000000080']
['0000004239', '2011_09_26', '0093', '0000000082']
['0000004667', '2011_09_26', '0093', '0000000084']
['0000001178', '2011_09_26', '0093', '0000000086']
['0000007144', '2011_09_26', '0093', '0000000088']
['0000001631', '2011_09_26', '0093', '0000000090']
['0000006581', '2011_09_26', '0093', '0000000092']
['0000001797', '2011_09_26', '0093', '0000000094']
['0000003482', '2011_09_26', '0093', '0000000096']
['0000006796', '2011_09_26', '0093', '0000000098']
['0000004420', '2011_09_26', '0093', '0000000100']
['0000000309', '2011_09_26', '0093', '0000000102']
['0000002138', '2011_09_26', '0093', '0000000104']
['0000001924', '2011_09_26', '0093', '0000000106']
['0000001664', '2011_09_26', '0093', '0000000108']
['0000005120', '2011_09_26', '0093', '0000000110']
['0000004171', '2011_09_26', '0093', '0000000112']
['0000001579', '2011_09_26', '0093', '0000000114']
['0000007371', '2011_09_26', '0093', '0000000116']
['0000000223', '2011_09_26', '0093', '0000000118']
['0000004904', '2011_09_26', '0093', '0000000120']
['0000000761', '2011_09_26', '0093', '0000000122']
['0000002945', '2011_09_26', '0093', '0000000124']
['0000002488', '2011_09_26', '0093', '0000000126']
['0000000698', '2011_09_26', '0093', '0000000128']
['0000002081', '2011_09_26', '0093', '0000000162']
['0000006758', '2011_09_26', '0093', '0000000168']
['0000005127', '2011_09_26', '0093', '0000000171']
['0000003764', '2011_09_26', '0093', '0000000174']
['0000003506', '2011_09_26', '0093', '0000000177']
['0000004157', '2011_09_26', '0093', '0000000179']
['0000002543', '2011_09_26', '0093', '0000000181']
['0000001445', '2011_09_26', '0093', '0000000183']
['0000000912', '2011_09_26', '0093', '0000000185']
['0000004418', '2011_09_26', '0093', '0000000187']
['0000002789', '2011_09_26', '0093', '0000000189']
['0000000567', '2011_09_26', '0093', '0000000191']
['0000002541', '2011_09_26', '0093', '0000000193']
['0000004472', '2011_09_26', '0093', '0000000195']
['0000003800', '2011_09_26', '0093', '0000000197']
['0000005881', '2011_09_26', '0093', '0000000199']
['0000006198', '2011_09_26', '0093', '0000000201']
['0000006752', '2011_09_26', '0093', '0000000203']
['0000004301', '2011_09_26', '0093', '0000000205']
['0000000311', '2011_09_26', '0093', '0000000207']
['0000007182', '2011_09_26', '0093', '0000000209']
['0000006765', '2011_09_26', '0093', '0000000211']
['0000001180', '2011_09_26', '0093', '0000000213']
['0000005026', '2011_09_26', '0093', '0000000215']
['0000000436', '2011_09_26', '0093', '0000000217']
['0000006519', '2011_09_26', '0093', '0000000219']
['0000004290', '2011_09_26', '0093', '0000000221']
['0000002405', '2011_09_26', '0093', '0000000223']
['0000000809', '2011_09_26', '0093', '0000000225']
['0000000401', '2011_09_26', '0093', '0000000227']
['0000007260', '2011_09_26', '0093', '0000000229']
['0000000734', '2011_09_26', '0093', '0000000231']
['0000004946', '2011_09_26', '0093', '0000000233']
['0000002839', '2011_09_26', '0093', '0000000235']
['0000004206', '2011_09_26', '0093', '0000000238']
['0000006370', '2011_09_26', '0093', '0000000241']
['0000005999', '2011_09_26', '0093', '0000000244']
['0000005466', '2011_09_26', '0093', '0000000247']
['0000004311', '2011_09_26', '0093', '0000000250']
['0000002974', '2011_09_26', '0093', '0000000253']
['0000006588', '2011_09_26', '0093', '0000000256']
['0000005618', '2011_09_26', '0093', '0000000258']
['0000000510', '2011_09_26', '0093', '0000000260']
['0000000323', '2011_09_26', '0093', '0000000262']
['0000006391', '2011_09_26', '0093', '0000000264']
['0000004424', '2011_09_26', '0093', '0000000266']
['0000004979', '2011_09_26', '0093', '0000000268']
['0000004430', '2011_09_26', '0093', '0000000270']
['0000001977', '2011_09_26', '0093', '0000000272']
['0000005161', '2011_09_26', '0093', '0000000274']
['0000006731', '2011_09_26', '0093', '0000000276']
['0000002934', '2011_09_26', '0093', '0000000277']
['0000002419', '2011_09_26', '0093', '0000000278']
['0000001224', '2011_09_26', '0093', '0000000280']
['0000005072', '2011_09_26', '0093', '0000000282']
['0000004007', '2011_09_26', '0093', '0000000284']
['0000006110', '2011_09_26', '0093', '0000000286']
['0000003894', '2011_09_26', '0093', '0000000288']
['0000001458', '2011_09_26', '0093', '0000000290']
['0000005864', '2011_09_26', '0093', '0000000292']
['0000006798', '2011_09_26', '0093', '0000000294']
['0000004246', '2011_09_26', '0093', '0000000296']
['0000004513', '2011_09_26', '0093', '0000000298']
['0000004685', '2011_09_26', '0093', '0000000300']
['0000004902', '2011_09_26', '0093', '0000000302']
['0000001035', '2011_09_26', '0093', '0000000304']
['0000001926', '2011_09_26', '0093', '0000000306']
['0000005241', '2011_09_26', '0093', '0000000308']
['0000002935', '2011_09_26', '0093', '0000000310']
['0000004213', '2011_09_26', '0093', '0000000312']
['0000001535', '2011_09_26', '0093', '0000000314']
['0000005919', '2011_09_26', '0093', '0000000316']
['0000004689', '2011_09_26', '0093', '0000000318']
['0000001765', '2011_09_26', '0093', '0000000320']
['0000000694', '2011_09_26', '0093', '0000000322']
['0000007342', '2011_09_26', '0093', '0000000324']
['0000004874', '2011_09_26', '0093', '0000000326']
['0000005481', '2011_09_26', '0093', '0000000328']
['0000004640', '2011_09_26', '0093', '0000000330']
['0000007309', '2011_09_26', '0093', '0000000332']
['0000001919', '2011_09_26', '0093', '0000000334']
['0000002169', '2011_09_26', '0093', '0000000336']
['0000004154', '2011_09_26', '0093', '0000000338']
['0000007166', '2011_09_26', '0093', '0000000340']
['0000001929', '2011_09_26', '0093', '0000000342']
['0000004051', '2011_09_26', '0093', '0000000344']
['0000004391', '2011_09_26', '0093', '0000000346']
['0000003661', '2011_09_26', '0093', '0000000348']
['0000003653', '2011_09_26', '0093', '0000000350']
['0000002254', '2011_09_26', '0093', '0000000352']
['0000001412', '2011_09_26', '0093', '0000000354']
['0000001801', '2011_09_26', '0093', '0000000356']
['0000003691', '2011_09_26', '0093', '0000000358']
['0000005010', '2011_09_26', '0093', '0000000360']
['0000000328', '2011_09_26', '0093', '0000000362']
['0000007132', '2011_09_26', '0093', '0000000364']
['0000003394', '2011_09_26', '0093', '0000000366']
['0000003283', '2011_09_26', '0093', '0000000368']
['0000005631', '2011_09_26', '0093', '0000000370']
['0000001878', '2011_09_26', '0093', '0000000372']
['0000005602', '2011_09_26', '0093', '0000000374']
['0000002200', '2011_09_26', '0093', '0000000376']
['0000000463', '2011_09_26', '0093', '0000000378']
['0000004624', '2011_09_26', '0093', '0000000380']
['0000002911', '2011_09_26', '0093', '0000000382']
['0000006169', '2011_09_26', '0093', '0000000384']
['0000000382', '2011_09_26', '0093', '0000000386']
['0000006632', '2011_09_26', '0093', '0000000388']
['0000000615', '2011_09_26', '0093', '0000000390']
['0000006273', '2011_09_26', '0093', '0000000392']
['0000005276', '2011_09_26', '0093', '0000000394']
['0000004542', '2011_09_26', '0093', '0000000396']
['0000003885', '2011_09_26', '0093', '0000000398']
['0000001897', '2011_09_26', '0093', '0000000400']
['0000005333', '2011_09_26', '0093', '0000000402']
['0000004122', '2011_09_26', '0093', '0000000404']
['0000006628', '2011_09_26', '0093', '0000000406']
['0000001055', '2011_09_26', '0093', '0000000408']
['0000006530', '2011_09_26', '0093', '0000000410']
['0000007337', '2011_09_26', '0093', '0000000412']
['0000002831', '2011_09_26', '0093', '0000000414']
['0000001508', '2011_09_26', '0093', '0000000416']
['0000003662', '2011_09_26', '0093', '0000000418']
['0000003337', '2011_09_26', '0093', '0000000420']
['0000001241', '2011_09_26', '0093', '0000000422']
['0000006945', '2011_09_26', '0093', '0000000424']
['0000003228', '2011_09_26', '0093', '0000000426']
['0000004966', '2011_09_26', '0093', '0000000428']
['0000003225', '2011_09_26', '0093', '0000000430']
['0000007027', '2011_09_26', '0093', '0000000432']
['0000003620', '2011_09_26', '0095', '0000000002']
['0000000468', '2011_09_26', '0101', '0000000001']
